,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
3319,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Family,Female,Beyond Secondary School,25
3320,No,No,No,No,Yes,Yes,No,No,No,,No,Yes,No,No,Yes,No,,5,Education and supportive work environments.,Female,Beyond Secondary School,38
3321,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,nothing,2,,Other,Beyond Secondary School,55
3322,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Finished Secondary School,17
3323,No,No,No,No,Yes,No,Yes,No,No,,No,No,Yes,No,Yes,No,,2,la educación,Female,Beyond Secondary School,45
3324,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"Good education, parents encouragement. Proper direction by teachers and parents. And, support of husband post marriage.",Female,Beyond Secondary School,37
3325,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,Estudiar. Ser empleada de la Administración pública.,Female,Beyond Secondary School,39
3326,No,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,,3,My knowledge and experience helped me to improve and also the most important thing was support of my faimily.,Female,Beyond Secondary School,20
3327,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,4,"My mother, an entrepreneur at heart, is my ultimate role model and helped me see women as powerful and enthusiastic about working.",Female,Finished Secondary School,17
3328,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Finished Primary School,16
3329,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,28
3330,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,Yes,No,No,,3,"For me it is not just working hard, but  believing in myself that I have the skills and the ability to possess the essential decisions to motivate myself and others.",Female,Beyond Secondary School,42
3331,No,No,Yes,No,No,Yes,No,No,No,,Yes,No,No,Yes,No,No,,4,,Female,Finished Secondary School,18
3332,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,28
3333,No,No,No,Yes,No,No,No,No,No,Equality,No,Yes,No,No,No,No,Glass ceiling,2,"In my life non-profit organizations have helped me search for a job. Also, advisors as well as mentors I have met throughout my college years.",Female,Beyond Secondary School,23
3334,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,"Parents who regardless of language barriers, economic access, and lack of education- put education on the forefront of my life. Professors, teachers, and mentors along the way who always encouraged me. Diverse and welcoming safe spaces.",Female,Beyond Secondary School,23
3335,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,"Estudiar constantemente, formarme como profesional y la reinvención constante",Female,Beyond Secondary School,30
3336,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,,1,I got quality education by going to a good school where I was also taught life skills. I also look up to my mother as she didn't have the opportunities I have and I always want to make her proud,Female,Beyond Secondary School,25
3337,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,getting a good education,Female,Beyond Secondary School,26
3338,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,Positive female role models,Female,Beyond Secondary School,26
3339,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,,Female,Finished Secondary School,18
3340,No,No,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,,4,,Female,Beyond Secondary School,23
3341,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,35
3342,No,No,No,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,,Female,Beyond Secondary School,47
3343,No,No,No,No,Yes,No,Yes,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,31
3344,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Myself I try to live against of prejudices I avoid the feeling of be woman ís an obstacle. I think the most important thing is to dare and keep fighting even if you get 9 not and only one yes.,Female,Beyond Secondary School,30
3345,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,No,No,,4,,Female,Beyond Secondary School,19
3346,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Going to a good and highly respected school.,Female,Finished Primary School,19
3347,No,No,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,Education,Female,Beyond Secondary School,42
3348,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,4,,Female,Beyond Secondary School,29
3349,No,No,No,No,No,Yes,No,Yes,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,25
3350,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,"A good education, social networking and receptive supervisors.",Female,Beyond Secondary School,55
3351,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,2,My husband,Female,Beyond Secondary School,40
3352,Yes,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,3,A good Education and Exposure.,Female,Beyond Secondary School,24
3353,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,,3,skill training and education outside of the secondary level. Family support and those of close friends. exposure to what other women have achieved within my environment,Female,Beyond Secondary School,55
3354,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,29
3355,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,3,,Male,Beyond Secondary School,58
3356,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,Education!,Female,Beyond Secondary School,53
3357,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,4,,Female,Beyond Secondary School,24
3358,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,4,My education helped in getting the job. Earning more  money by having a small  business on the side.,Female,Beyond Secondary School,60
3359,No,No,No,No,No,Yes,No,No,No,Know the salary discrepancies between men and women,No,No,No,No,Yes,No,sexism and salary discrepancies,1,Seeking higher education,Female,Beyond Secondary School,36
3360,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,A good education.,Female,Beyond Secondary School,73
3361,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,"Education, opportunities of job market, family support, access to finance",Female,Finished Secondary School,43
3362,No,No,Yes,No,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,,1,,Female,Beyond Secondary School,33
3363,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,"A well rounded High School and  Tertiary education together with  continuous self development.  Support from family members is a huge factor in building your foundation for your  family.   
my family started a new business so I know first hand that it takes a lot of continuous self sacrifice, dedication, honesty and know how.  One has to be self driven.",Female,Beyond Secondary School,60
3364,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,No,No,,3,,Female,Beyond Secondary School,21
3365,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,My education and access to opportunities.,Female,Beyond Secondary School,58
3366,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,5,"Good education, courage, clear goal",Female,Beyond Secondary School,65
3367,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,3,excellent education - womenas role models,Female,Beyond Secondary School,75
3368,No,Yes,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,1,Having received a good education before starting a family. After having a family a woman need childcare an a flexible work to manage job and kids.,Female,Beyond Secondary School,40
3369,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,2,Eduacation,Male,Beyond Secondary School,36
3370,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,Education has helped to come this far and the economic awareness stating women also should engage in income generation has helped me to get a good job and earn more.An acknowledge towards the financial stability and status of women has inspired me to earn money.,Female,Beyond Secondary School,26
3371,No,No,Yes,No,No,Yes,No,No,No,,Yes,No,No,No,Yes,No,,3,mi educación y el compartir responsabilidades familiares con mi marido,Female,Beyond Secondary School,37
3372,No,No,No,No,No,No,No,No,No,"A good education, Maternity and child care, Access to Banking and finance, women's groups and charities",No,No,No,No,No,No,"Lack of experience and skills, Housework and family responsibility,",3,"My trust in God, A good job training, Family support, networking",Female,Beyond Secondary School,50
3373,Yes,No,Yes,No,No,No,No,No,No,Non discriminatory laws such as the SADC Gender Protocal,No,No,No,Yes,No,No,,3,,Male,Beyond Secondary School,37
3374,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,4,"Firstly, my belief on my own capacities. 
Secondly to fight for my rights and my place in society. 
Then I should make more effort to prove my abilities.",Female,Beyond Secondary School,59
3375,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,1,Posibilidad de contar con una trabajadora del hogar que me ayude a cuidar a mis hijos. Capacitarme más en temas que eran innovadores en su momento. LA ACTITUD de querer avanzar.,Female,Beyond Secondary School,41
3376,No,No,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,26
3377,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,2,"The only way that I think is knowldege to find a good job ,earn money and start a business",Female,Some Primary School,16
3378,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"Supportive family, a good education without stereotyping at school. There was still a bias for University entrance (25% women) Working with Sciences ( medicine) . A fully supportive husband",Female,Beyond Secondary School,61
3379,No,No,No,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,24
3380,No,No,Yes,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,No,,4,"Good education, networking, confidence, opportunities",Female,Beyond Secondary School,69
3381,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,a good education and the example of my family,Female,Beyond Secondary School,41
3382,No,No,No,Yes,No,No,No,No,No,Greater cultural awareness of the benefits of having women in elevated positions.,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,34
3383,No,No,Yes,No,No,No,No,No,No,more opportunities for women in employment and businesses,No,No,Yes,No,Yes,No,,2,my education and some women mentors helped me by creating a platform for me to show my skills and expertise,Male,Beyond Secondary School,29
3384,No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,2,,Female,Beyond Secondary School,48
3385,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,,Male,Beyond Secondary School,46
3386,No,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,,2,Education and my own belief that I can do it.,Female,Beyond Secondary School,66
3387,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Peer mentorship; an education with which I received financial help for.,Female,Beyond Secondary School,23
3388,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,No access an education,4,"In my life, an education  helped me to get a good job but, I didn't earn more money unfortunately.",Female,Beyond Secondary School,50
3389,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,4,Personal contacts/referrals and taking an aggressive interest in new areas of work.,Female,Beyond Secondary School,69
3390,No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,3,"Education, luck & shear force of will (determination)",Female,Beyond Secondary School,62
3391,No,No,Yes,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Finished Secondary School,49
3392,No,No,Yes,No,No,No,No,No,No,better land ownership,No,No,No,No,No,No,equal opportunity and paternalistic mindsets,3,a good education,Male,Beyond Secondary School,31
3393,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,Yes,Yes,No,No,No,,5,,Female,Finished Secondary School,61
3394,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,"My parents focused on my education, and put the same amount of pressure on me to excel as they did to my brothers.  My mother never went to University but she was an autodidact, learning English, Italian and French fluently",Female,Beyond Secondary School,41
3395,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,4,"Access to education, access to basic rights, equal rights to jobs and opportunities.",Female,Beyond Secondary School,40
3396,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,5,"My University education, contacts, and having a very good image: people who would talk about the kind of person I am and what am I able to do",Female,Beyond Secondary School,32
3397,No,No,Yes,No,No,No,No,No,No,Changes to societal perceptions on what constitutes a woman's role/acceptable behaviour,No,No,Yes,No,Yes,No,,2,"Encouragement from friends, exposure to women who were achieving the goals I thought I couldn't reach",Female,Beyond Secondary School,32
3398,No,No,Yes,No,No,Yes,No,No,No,,Yes,No,No,No,Yes,No,,4,"Having the educational skills required for the job, having the confidence in myself to apply and conduct myself in a professional manner after acquiring the job, record keeping is critical, as well as keeping up with the times, knowledge tree from the roots up is of equal importance to earning more money.",Female,Beyond Secondary School,57
3399,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,My own motivation and support from my family,Female,Beyond Secondary School,52
3400,No,No,No,No,No,Yes,No,No,No,More women in leadership positions who can support women and their rights,No,No,Yes,No,Yes,No,,4,Working with amazing female leaders who enabled and nurtured young women in their team. Offered leadership opportunities. But I've not yet had children and I fear my career will inevitably suffer when I do,Female,Beyond Secondary School,26
3401,,,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,3,"I an a business owner who has thrived thanks to my education, networking, support from other women role models, and the support of my family.",Female,Beyond Secondary School,30
3402,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,56
3403,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"My determination and passion to have agency and be independent
family culture
education
supporting husband",Female,Beyond Secondary School,64
3404,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,sexism,3,having connections,Female,Beyond Secondary School,45
3405,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,2,"Good education, skills, access to financing from microfinance bank",Female,Beyond Secondary School,48
3406,No,,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,I took a government sponsored youth program...at age 50.,Female,Beyond Secondary School,60
3407,Yes,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,Yes,No,No,,2,"Education, experience and reduction of child spacing. Also, in my small business access to soft loans",Female,Beyond Secondary School,29
3408,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Be strong,Female,Beyond Secondary School,41
3409,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,"ganas de hacer las cosas,  la educación y el entorno",Female,Beyond Secondary School,36
3410,No,No,Yes,No,No,No,Yes,No,No,,Yes,No,Yes,No,No,No,,2,Being assertive and seek good qualification (I'm a man),Male,Beyond Secondary School,60
3411,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,"Education helped me the most, as well as networks.",Female,Beyond Secondary School,63
3412,No,No,Yes,No,No,No,No,No,Yes,,No,Yes,No,No,Yes,No,,3,The expectation in my household of getting a college education. It was stressed that education came above all other things that may hold women back such as early pregnancy.,Female,Beyond Secondary School,30
3413,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"I was born into an educated middle class family in the US.  I was expected to go to college, have a career, and my family had the means to get me there.  Many women do not have this opportunity.",Female,Beyond Secondary School,67
3414,Yes,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,No,No,,2,Education has helped me,Female,Beyond Secondary School,58
3415,No,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,good education and experienc,Male,Beyond Secondary School,41
3416,Yes,Yes,No,No,No,No,No,No,No,Women should play the role as women,No,No,No,Yes,No,No,,4,Acquired the right skills for what I do and not certificate for just any job,Male,Beyond Secondary School,57
3417,No,No,No,No,No,No,No,No,No,BASIC HUMAN RESPECT FOR WOMEN BY ALL AS EQUALS,No,No,No,Yes,No,No,Confidence in themselves,3,,Female,Beyond Secondary School,46
3418,No,No,No,Yes,Yes,No,No,No,No,,No,No,No,No,Yes,No,,3,"My mother is a very successful professional, my father supports and admires here. That is the way I have been raised, I have been given the same opportunities as my brothers and have always been encouraged by my family to persue my goals.",Female,Beyond Secondary School,26
3419,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,5,education and very hard work,Female,Beyond Secondary School,73
3420,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,My family supported my choices and my mother and both grandmothers were great role models.,Female,Beyond Secondary School,65
3421,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"My education. Perseverance, hard work.",Female,Beyond Secondary School,56
3422,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,"Education has been key. By this I do not only mean scholarly education. I come from a family where my mother was the main breadwinnee for the family. This helped me se I could succed in a work life and am not only suied for marriage. 
Family values and opportunities to explore your strenghts and develop them in the corporate or business worlf are key.",Female,Beyond Secondary School,26
3423,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,24
3424,No,No,No,No,No,No,No,No,No,change in government and society structures,No,No,No,No,Yes,No,,2,the only way is flattery and favoritism,Male,Beyond Secondary School,36
3425,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,90
3426,No,No,No,No,No,No,No,No,No,Legal support,No,No,No,Yes,No,No,,1,Personal skills and high motivation,Female,Beyond Secondary School,28
3427,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,My family's upbringing.,Female,Beyond Secondary School,42
3428,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,4,,Female,Beyond Secondary School,25
3429,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,No,childcare,5,"A good education, strong family and professional support, affordable childcare",Female,Beyond Secondary School,54
3430,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,3,My husbands encouragement and support to help around the house and with the family priorities,Female,Beyond Secondary School,46
3431,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,2,Education,Female,Beyond Secondary School,59
3432,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,2,"Getting a good education, having mentors and working for a company tht values diversity, inclusion and gender equity",Female,Beyond Secondary School,63
3433,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,La vision de la non discrimination entre fille et garçon de mes parents. L'esprit d'ouverture et de compréhension de mon mari qui m'a accordé la liberté d'aller et de venir et d'entreprendre. Mes capacités intellectuelles mon niveau d'instruction,Female,Beyond Secondary School,53
3434,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,No,Yes,No,,1,Support from other women who had been through the same path as I had.,Female,Beyond Secondary School,26
3435,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,2,,Female,Finished Secondary School,22
3436,No,No,No,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,Anti-discrimination laws,Female,Beyond Secondary School,74
3437,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,5,,Female,Beyond Secondary School,39
3438,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,my own efforts and hard work,Female,Beyond Secondary School,28
3439,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Becoming a feminist and getting strength from other feminists!,Female,Beyond Secondary School,49
3440,No,No,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,24
3441,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,No,No,government supported mandates toward all women,1,,Female,Beyond Secondary School,59
3442,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"Education, support of family in terms of sharing responsibilities of home and children, mentors and role models.",Female,Beyond Secondary School,64
3443,No,No,Yes,No,No,No,No,No,No,"Working on the Patriarchy is a social system, to adress the embeddid deep cultures that emphasise unequality",No,No,No,Yes,Yes,No,,1,"I worked too hard, i studied, and worked more than one k=job at a time to afford my education and to step up on my career. and while i was working double the working hours my male colleagues got higher salaries.",Female,Beyond Secondary School,34
3444,No,No,No,No,Yes,No,No,No,No,,No,No,Yes,No,No,No,,2,,Female,Beyond Secondary School,19
3445,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"Determination and a strong will. Successful people in my family also inspired me to reach for the stars, even though I was not a male.",Female,Beyond Secondary School,56
3446,No,No,No,No,No,Yes,No,No,No,Government and society change through policy and gender equality education from the early age,No,Yes,No,No,Yes,No,,2,,Female,Finished Secondary School,27
3447,No,No,Yes,No,No,No,No,No,No,Better sharing of unpaid care work and responsibilities,No,No,Yes,No,No,No,"Lack of public infrastructure and services, including child care",3,Education,Female,Beyond Secondary School,54
3448,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,4,,Female,Beyond Secondary School,46
3449,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,4,"Education, education, education and as mother who gave me the permission to dream big.",Female,Beyond Secondary School,63
3450,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,my dad!,Female,Beyond Secondary School,26
3451,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,5,,Female,Beyond Secondary School,70
3452,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,2,,Female,Beyond Secondary School,29
3453,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Reflections on gender roles.,Female,Beyond Secondary School,28
3454,Yes,Yes,Yes,No,No,No,No,No,No,"Formation dans le secteur informel, une école des contribuables",No,No,Yes,No,No,No,manque de financement pour entreprendre,2,un système d'entraide mis sur pied par notre association,Female,Beyond Secondary School,46
3455,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,Family support of my education,Female,Beyond Secondary School,33
3456,Yes,,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,5,"Believe in myself, show how I am uniquely qualified, be in service to the job.",Female,Finished Primary School,55
3457,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,"Criticism, sarcasm, teasing towards females of any age who want to better themselves and society by being and doing something extra-ordinary.",3,"Being offered a challenging position, and receiving the affirmation and trust to forge ahead in it.",Female,Beyond Secondary School,83
3458,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,2,It is very difficult to gain a single job due to non-observing of merit as well as political influence,Male,Beyond Secondary School,46
3459,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,"Taking risks, working twice as hard and proving others I was way better than the rest. I always felt I had to work double to get the same than men",Female,Beyond Secondary School,32
3460,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,The encouragement of my husbund who pushed me to fight for my rights.  I had in my mind the mentality accepting the reality..not tryng yo change it,Female,Finished Secondary School,41
3461,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,5,,Female,Beyond Secondary School,42
3462,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,22
3463,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,my education and the support of my family,Female,Beyond Secondary School,26
3464,No,Yes,Yes,No,No,No,No,No,Yes,,No,No,No,No,No,No,Lack of a good education,4,A good education and exposure,Female,Beyond Secondary School,50
3465,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,Education and delegating family care,Female,Beyond Secondary School,32
3466,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,2,,Female,Beyond Secondary School,28
3467,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,51
3468,No,No,No,Yes,No,No,No,No,Yes,,No,No,Yes,Yes,No,No,,4,"Education,  exposure,  my mum as a role model, determination",Female,Beyond Secondary School,42
3469,No,No,No,No,No,Yes,No,No,No,nondiscriminatory labor recruitment policies,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,37
3470,No,No,Yes,No,No,No,No,No,No,Women should be assisted to develop small businesses associated with their local resources,No,No,No,Yes,Yes,No,,1,"Education ,  skill enhancement and mentorship",Female,Beyond Secondary School,58
3471,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,4,"Education, encouraged by my parents and later spouse, enabled by good government policies and above all, divine providence.",Female,Beyond Secondary School,70
3472,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,20
3473,No,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,3,Undergrad degree from my country's top-rated university and family support,Female,Beyond Secondary School,30
3474,No,No,No,No,No,No,Yes,Yes,No,,No,Yes,No,No,Yes,No,,1,,Female,Beyond Secondary School,26
3475,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,"My education, the support of my parents, financial security.",Female,Beyond Secondary School,29
3476,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,23
3477,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"First is a great education, which is the starting point for all of us!  Then work VERY, VERY hard to build up a resume that can't be beat!  Even than, it was still hard before I found a circle of female mentors, who were unselfish in their support.  Then the male mentors came...very encouraging!",Female,Beyond Secondary School,72
3478,No,No,Yes,No,No,No,No,No,No,Changing cultural perceptions about women,No,No,No,No,Yes,No,Not having a good support system,2,"Not accepting the limits many people have tried to impose on me, having access to books and free resources on the internet (e.g. edx) so I could learn things on my own, meeting a female teacher who believed in me, Obama's DACA policy, working for a team of women who inspire me, and learning about domestic violence and the effects it had and continues to have in my life, so now I can try to stay away from unhealthy relationships.",Female,Beyond Secondary School,31
3479,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Finished Secondary School,21
3480,Yes,,No,No,No,No,No,No,No,creo que una mujer para que pueda ejercer un negocio necesita una ayuda acerca de como poede hacerlo para que tenga menores resultados,Yes,No,No,No,No,No,,1,mis conocimientos y la ayuda de mis familiares,Female,Beyond Secondary School,19
3481,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"because i have good educational background as well as confident, productive, assertive, good at what i do, result oriented fast learner, always give off my best  to achieve results, result based and happy with what i do mostly",Female,Beyond Secondary School,43
3482,No,,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,5,Personal determination,Female,Beyond Secondary School,40
3483,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,53
3484,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,My  experience and profesional training,Female,Beyond Secondary School,43
